English name,Score,Genres,Type,Aired,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score,Aired_Year,Start Month,Season
UNKNOWN,7.0,Sci-Fi,TV,"Jul 6, 2007 to Dec 28, 2007",Konami,J.C.Staff,3984.0,4246,41,8900.0,23716,45.523638569979354,2007,Jul,Summer
"Sayonara, Zetsubou-Sensei",7.86,Comedy,TV,"Jul 8, 2007 to Sep 23, 2007","Starchild Records, Omnibus Japan",Shaft,802.0,651,4634,125394.0,335694,71.02266909353506,2007,Jul,Summer
UNKNOWN,6.54,"Action, Adventure, Comedy, Fantasy",Movie,"Dec 9, 2006",UNKNOWN,Toei Animation,6114.0,5388,7,6146.0,13272,41.476939898614695,2006,Dec,Winter
Birth,6.0,"Action, Adventure, Comedy, Sci-Fi",OVA,"Jul 21, 1984","Victor Entertainment, Harmony Gold","Kaname Productions, Idol",8816.0,7059,18,2432.0,6804,32.12031831462389,1984,Jul,Summer
UNKNOWN,7.47,Action,TV,"Jun 15, 2007 to Sep 13, 2008",OB Planning,A.C.G.T.,1825.0,3253,544,15932.0,40669,51.500737701796474,2007,Jun,Summer
UNKNOWN,6.18,"Drama, Romance",TV,"Jul 2, 1999 to Sep 24, 1999",Pink Pineapple,PP Project,7985.0,7392,9,1162.0,6076,25.57357632755499,1999,Jul,Summer
Panda! Go Panda!,6.72,Comedy,Movie,"Dec 17, 1972 to Mar 17, 1973",UNKNOWN,Tokyo Movie Shinsha,5243.0,5961,26,5260.0,10336,40.29015511179853,1972,Dec,Winter
Future Boy Conan 2: River Adventure,6.32,"Adventure, Drama, Sci-Fi",TV,"Oct 16, 1999 to Apr 1, 2000",UNKNOWN,Nippon Animation,7293.0,10287,0,549.0,2262,18.857770053285417,1999,Oct,Fall
UNKNOWN,6.56,"Adventure, Drama, Sci-Fi",Movie,"Mar 11, 1984",UNKNOWN,Nippon Animation,6043.0,10861,6,481.0,1888,17.981126488742046,1984,Mar,Spring
Otoboku: Maidens are Falling for Me! Special,6.62,"Comedy, Romance",Special,"Apr 21, 2007",UNKNOWN,feel.,5751.0,5674,8,6381.0,11664,41.93571451636324,2007,Apr,Spring
UNKNOWN,6.36,Comedy,Special,"Apr 8, 2000 to Jul 19, 2002",UNKNOWN,Studio Ghibli,7076.0,6913,5,2619.0,7195,33.34240650160496,2000,Apr,Spring
Treasure Island,7.94,"Adventure, Drama, Mystery",TV,"Oct 8, 1978 to Apr 1, 1979",Madhouse,Tokyo Movie Shinsha,652.0,4644,259,6598.0,19358,43.92349322985048,1978,Oct,Fall
Spider Riders,6.55,"Action, Adventure",TV,"Apr 5, 2006 to Sep 27, 2006","TV Tokyo, Yomiko Advertising, P.A. Works, YTV, Cookie Jar Entertainment",Bee Train,6076.0,6239,27,4081.0,9268,37.71000100995764,2006,Apr,Spring
Spider Riders: Resurrected Sun,6.69,"Action, Adventure",TV,"Apr 14, 2007 to Oct 13, 2007","TV Tokyo, Yomiko Advertising, Cookie Jar Entertainment",Bee Train,5403.0,8208,6,2138.0,4710,31.935744473543846,2007,Apr,Spring
UNKNOWN,5.87,"Boys Love, Drama, Romance",Movie,"Mar 20, 1981",UNKNOWN,"Madhouse, Toei Animation",9424.0,7417,17,2135.0,6014,30.715369165297872,1981,Mar,Spring
Big Wars,5.41,"Action, Sci-Fi",OVA,"Sep 25, 1993",Tokuma Japan,Magic Bus,11057.0,9502,5,1374.0,2968,25.892256462024893,1993,Sep,Fall
The Dog of Flanders,7.81,Drama,Movie,"Mar 15, 1997","Shochiku, Fuji TV, Pioneer LDC",Nippon Animation,903.0,4418,79,5595.0,21524,42.24837087225668,1997,Mar,Spring
A Dog of Flanders: My Patrasche,7.0,Drama,TV,"Oct 10, 1992 to Mar 27, 1993",Tokyo Movie Shinsha,TMS Entertainment,4007.0,10499,6,568.0,2118,20.11530230525776,1992,Oct,Fall
UNKNOWN,6.73,"Comedy, Fantasy, Sci-Fi",Movie,"Mar 8, 1997",UNKNOWN,Shin-Ei Animation,5173.0,10317,2,1024.0,2244,25.19345173196065,1997,Mar,Spring
UNKNOWN,6.35,Fantasy,Movie,"Mar 7, 1998",UNKNOWN,Shin-Ei Animation,7118.0,11312,0,652.0,1583,20.488911266440716,1998,Mar,Spring
UNKNOWN,6.11,Fantasy,Movie,"Mar 6, 1999",UNKNOWN,Shin-Ei Animation,8295.0,11634,0,531.0,1405,18.23805157733833,1999,Mar,Spring
UNKNOWN,6.48,"Comedy, Sci-Fi",Special,"Jan 2, 1987",Asatsu DK,UNKNOWN,6467.0,10959,1,775.0,1814,22.271560620336803,1987,Jan,Winter
UNKNOWN,6.82,"Comedy, Sci-Fi",Special,"Jan 3, 1982",Asatsu DK,UNKNOWN,4772.0,10112,6,1047.0,2391,25.521200546618513,1982,Jan,Winter
UNKNOWN,6.18,"Comedy, Fantasy, Sci-Fi, Sports",Movie,"Mar 9, 2002",UNKNOWN,Shin-Ei Animation,7996.0,11320,0,646.0,1577,20.153027029206616,2002,Mar,Spring
UNKNOWN,6.44,"Adventure, Comedy, Sci-Fi",Special,"Jan 3, 1980",Asatsu DK,UNKNOWN,6663.0,11147,1,652.0,1685,20.618844314959066,1980,Jan,Winter
UNKNOWN,6.38,"Adventure, Comedy, Fantasy, Sci-Fi",Movie,"Mar 4, 2000",UNKNOWN,Shin-Ei Animation,6956.0,11168,0,663.0,1674,20.686886498757477,2000,Mar,Spring
UNKNOWN,6.99,"Comedy, Fantasy, Sci-Fi",Special,"Jan 3, 1981",Asatsu DK,Shin-Ei Animation,4030.0,9492,5,1394.0,2983,28.391587467322584,1981,Jan,Winter
UNKNOWN,5.96,Fantasy,Movie,"Mar 9, 1991",UNKNOWN,UNKNOWN,9017.0,14826,0,153.0,514,6.525046666237617,1991,Mar,Spring
UNKNOWN,5.95,Fantasy,Movie,"Mar 6, 1993",UNKNOWN,UNKNOWN,9084.0,15065,0,153.0,483,6.509556481982081,1993,Mar,Spring
UNKNOWN,5.75,Fantasy,Movie,"Mar 12, 1994",UNKNOWN,UNKNOWN,9880.0,15588,0,132.0,431,4.832487140235008,1994,Mar,Spring
UNKNOWN,6.41,"Adventure, Comedy, Fantasy, Sci-Fi",Movie,"Mar 10, 2001",UNKNOWN,Shin-Ei Animation,6816.0,11367,0,589.0,1544,19.637574748804617,2001,Mar,Spring
UNKNOWN,6.6,Fantasy,Movie,"Mar 2, 1996",UNKNOWN,UNKNOWN,5820.0,10999,1,778.0,1784,22.476643394348297,1996,Mar,Spring
UNKNOWN,6.42,Fantasy,Movie,"Mar 11, 1989",Shin-Ei Animation,UNKNOWN,6759.0,13760,0,284.0,711,12.918444184529774,1989,Mar,Spring
UNKNOWN,7.23,"Comedy, Fantasy",Movie,"Mar 4, 1995",TV Asahi,Shin-Ei Animation,2867.0,7858,3,2859.0,5260,35.335940922082216,1995,Mar,Spring
Doraemon: A Grandmother's Recollections,7.24,"Award Winning, Comedy, Fantasy, Sci-Fi",Movie,"Mar 4, 2000",UNKNOWN,UNKNOWN,2842.0,9296,5,1638.0,3191,30.205442667777984,2000,Mar,Spring
UNKNOWN,6.39,"Adventure, Fantasy, Sci-Fi",Movie,"Aug 1, 1981",TV Asahi,Shin-Ei Animation,6915.0,10446,0,917.0,2150,23.695799311877195,1981,Aug,Fall
UNKNOWN,6.87,"Comedy, Fantasy",Movie,"Mar 7, 1998",Asatsu DK,Shin-Ei Animation,4514.0,9980,1,1157.0,2500,26.511067171021228,1998,Mar,Spring
UNKNOWN,7.03,"Comedy, Fantasy, Sci-Fi",Movie,"Mar 9, 2002",UNKNOWN,Shin-Ei Animation,3881.0,9222,0,1767.0,3271,30.633637396915457,2002,Mar,Spring
Doraemon: Ganbare! Gian!!,6.45,"Adventure, Comedy, Fantasy",Movie,"Mar 10, 2001",Tokyo Movie Shinsha,UNKNOWN,6608.0,10902,0,717.0,1855,21.510538984754305,2001,Mar,Spring
Doraemon the Movie: Nobita and the Winged Braves,7.2,"Adventure, Fantasy",Movie,"Mar 10, 2001",UNKNOWN,UNKNOWN,3014.0,7631,1,3159.0,5597,36.218957338979536,2001,Mar,Spring
Doraemon the Movie: Nobita in the Robot Kingdom,7.18,"Adventure, Comedy, Fantasy",Movie,"Mar 9, 2002","TV Asahi, Shogakukan-Shueisha Productions",UNKNOWN,3166.0,6299,1,5683.0,9057,41.61582390278654,2002,Mar,Spring
Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey,7.34,"Adventure, Comedy, Sci-Fi",Movie,"Mar 6, 2004",UNKNOWN,Shin-Ei Animation,2319.0,6728,6,4891.0,7742,40.433438098255216,2004,Mar,Spring
Doraemon the Movie: Nobita and the Knights on Dinosaurs,6.94,"Adventure, Comedy, Fantasy",Movie,"Mar 14, 1987","TV Asahi, Asatsu DK",Shin-Ei Animation,4242.0,8036,0,2702.0,4964,34.436387323617105,1987,Mar,Spring
Doraemon the Movie: The Record of Nobita's Parallel Visit to the West,7.05,"Adventure, Fantasy, Sci-Fi",Movie,"Mar 12, 1988",TV Asahi,Shin-Ei Animation,3746.0,8095,2,2672.0,4875,34.47850245261249,1988,Mar,Spring
Doraemon the Movie: Nobita and the Tin Labyrinth,7.09,Fantasy,Movie,"Mar 6, 1993",UNKNOWN,UNKNOWN,3604.0,7396,5,3774.0,6066,37.71936152825334,1993,Mar,Spring
UNKNOWN,7.14,Fantasy,Movie,"Mar 6, 1999",UNKNOWN,UNKNOWN,3324.0,9423,0,1580.0,3060,29.744129578528064,1999,Mar,Spring
Doraemon the Movie: Nobita and the Kingdom of Clouds,7.14,"Adventure, Comedy",Movie,"Mar 7, 1992",UNKNOWN,UNKNOWN,3323.0,6893,5,4453.0,7228,39.311985846208934,1992,Mar,Spring
"Doraemon the Movie: The Records of Nobita, Spaceblazer",6.91,"Adventure, Comedy, Fantasy",Movie,"Mar 14, 1981",TV Asahi,Shin-Ei Animation,4371.0,8184,3,2579.0,4752,33.966166475410276,1981,Mar,Spring
Doraemon the Movie: Nobita's Great Adventure in the South Seas,7.21,"Adventure, Award Winning, Comedy, Fantasy, Sci-Fi",Movie,"Mar 7, 1998",UNKNOWN,Shin-Ei Animation,2989.0,6894,3,4511.0,7223,39.521575449562704,1998,Mar,Spring
Doraemon the Movie: Nobita and the Steel Troops,7.57,"Adventure, Comedy, Fantasy",Movie,"Mar 15, 1986",UNKNOWN,UNKNOWN,1477.0,6721,16,4870.0,7757,40.678620793680835,1986,Mar,Spring
Doraemon the Movie: Nobita and the Birth of Japan,7.12,"Adventure, Comedy, Fantasy",Movie,"Mar 11, 1989",UNKNOWN,Shin-Ei Animation,3461.0,8140,0,2655.0,4807,34.51079856921824,1989,Mar,Spring
Doraemon the Movie: Nobita and the Castle of the Undersea Devil,6.98,Fantasy,Movie,"Mar 12, 1983",UNKNOWN,Shin-Ei Animation,4059.0,7845,1,2894.0,5286,35.12335031304295,1983,Mar,Spring
Doraemon the Movie: Nobita Drifts in the Universe,6.99,"Adventure, Comedy, Fantasy",Movie,"Mar 6, 1999",Asatsu DK,UNKNOWN,4029.0,8161,1,2625.0,4787,34.235708217137535,1999,Mar,Spring
Doraemon the Movie: Nobita's Little Space War,7.03,Fantasy,Movie,"Mar 16, 1985",UNKNOWN,Shin-Ei Animation,3879.0,7329,2,3861.0,6216,37.85133774130448,1985,Mar,Spring
Doraemon the Movie: Nobita's Dorabian Nights,7.27,"Adventure, Comedy, Fantasy",Movie,"Mar 9, 1991",UNKNOWN,UNKNOWN,2695.0,5785,5,7539.0,11117,44.34057200011149,1991,Mar,Spring
Doraemon the Movie: Nobita and the Haunts of Evil,7.06,Adventure,Movie,"Mar 13, 1982",UNKNOWN,Shin-Ei Animation,3725.0,7392,3,3561.0,6077,37.1437556642503,1982,Mar,Spring
Doraemon the Movie: Nobita's Great Adventure into the Underworld,7.14,Fantasy,Movie,"Mar 17, 1984",UNKNOWN,UNKNOWN,3322.0,8177,2,2584.0,4770,34.28640218311077,1984,Mar,Spring
Doraemon the Movie: Nobita's New Great Adventure into the Underworld,7.56,"Adventure, Comedy, Fantasy",Movie,"Mar 10, 2007",TV Asahi,Shin-Ei Animation,1491.0,6378,9,5403.0,8742,41.62549128918863,2007,Mar,Spring
Doraemon the Movie: Nobita's Diary of the Creation of the World,6.98,"Adventure, Comedy, Fantasy, Sci-Fi",Movie,"Mar 4, 1995",UNKNOWN,Shin-Ei Animation,4060.0,8322,1,2248.0,4525,32.79085223058051,1995,Mar,Spring
Doraemon the Movie: Nobita and the Galaxy Super-express,7.21,Fantasy,Movie,"Mar 2, 1996",UNKNOWN,Shin-Ei Animation,2989.0,6707,5,4799.0,7781,40.093071314622385,1996,Mar,Spring
Doraemon the Movie: Nobita's Three Visionary Swordsmen,7.37,"Adventure, Fantasy, Sci-Fi",Movie,"Mar 12, 1994",UNKNOWN,UNKNOWN,2186.0,7124,8,4189.0,6656,39.040397342022935,1994,Mar,Spring
Doraemon the Movie: Nobita and the Animal Planet,7.1,"Adventure, Comedy, Fantasy, Sci-Fi",Movie,"Mar 10, 1990",UNKNOWN,Shin-Ei Animation,3538.0,6970,0,4288.0,7041,38.91144562519156,1990,Mar,Spring
Doraemon the Movie: Nobita and the Spiral City,6.83,"Adventure, Fantasy",Movie,"Mar 8, 1997",UNKNOWN,UNKNOWN,4707.0,8726,1,2002.0,3904,31.520097371208163,1997,Mar,Spring
The Enemy's the Pirates!: The Cats' Banquet,6.09,"Comedy, Sci-Fi",TV,"Dec 26, 1989 to Dec 31, 1989","Kitty Films, Kitty Film Mitaka Studio, Watanabe Promotion","Production I.G, Madhouse",8432.0,10836,5,577.0,1902,18.974762922690296,1989,Dec,Winter
Blue Legend Shoot!,6.68,"Action, Sports",Movie,"Dec 4, 1994",UNKNOWN,Toei Animation,5428.0,9703,4,1099.0,2743,25.777241005648612,1994,Dec,Winter
UNKNOWN,7.2,"Action, Drama, Fantasy, Horror, Mystery",TV,"Jul 27, 2007 to Oct 12, 2007",UNKNOWN,"AIC Spirits, BeSTACK",3059.0,3416,63,14133.0,37336,50.05433629603517,2007,Jul,Summer
UNKNOWN,6.79,"Action, Sci-Fi, Sports",TV,"Jul 4, 2007 to Sep 26, 2007",UNKNOWN,TMS Entertainment,4896.0,6371,4,3992.0,8780,37.838690386411066,2007,Jul,Summer
Tsubasa RESERVoir CHRoNiCLE: Tokyo Revelations,8.27,"Action, Adventure, Drama, Fantasy, Romance",OVA,"Nov 16, 2007 to Mar 17, 2008",Kodansha,Production I.G,270.0,2021,831,44364.0,93183,61.89726814191763,2007,Nov,Winter
Gigantor,6.47,"Adventure, Sci-Fi",TV,"Oct 20, 1963 to May 27, 1965",UNKNOWN,Eiken,6509.0,9158,11,999.0,3333,24.601458949511517,1963,Oct,Fall
Adventures of the Monkey King,6.54,"Comedy, Fantasy",TV,"Jan 7, 1967 to Sep 30, 1967",Fuji TV,Mushi Production,6123.0,12609,3,311.0,1010,13.927602013944574,1967,Jan,Winter
Zillion,6.59,"Action, Adventure, Sci-Fi",TV,"Apr 12, 1987 to Dec 13, 1987","Victor Entertainment, Yomiko Advertising, Nippon Television Network, Streamline Pictures",Tatsunoko Production,5864.0,7729,21,1340.0,5450,27.48268570549979,1987,Apr,Spring
Zillion: Burning Night,5.7,"Action, Adventure, Sci-Fi",OVA,"Jun 21, 1988",Tatsunoko Production,Production I.G,10054.0,11420,1,532.0,1514,17.614189218344592,1988,Jun,Summer
UNKNOWN,6.0,"Action, Mystery",OVA,"Nov 28, 1986",Bandai Visual,Network Kouenji Studio,8851.0,10477,0,785.0,2131,21.679376592078455,1986,Nov,Winter
CB Character: Nagai Gou World,6.77,"Action, Comedy",OVA,"Feb 21, 1991 to Jun 27, 1991","Bandai Visual, Dynamic Planning",Triangle Staff,4980.0,9060,20,1395.0,3448,28.10292439759289,1991,Feb,Spring
Suddenly Princess,5.96,"Comedy, Fantasy",OVA,"Dec 1, 1997 to May 21, 1998",UNKNOWN,J.C.Staff,9014.0,8826,4,1192.0,3735,25.474246300761383,1997,Dec,Winter
Tree in the Sun,7.06,"Action, Award Winning, Drama",TV,"Apr 5, 2000 to Sep 20, 2000","VAP, Nippon Television Network",Madhouse,3737.0,8735,23,644.0,3881,21.353473677312763,2000,Apr,Spring
Mobile Suit Gundam 0083: The Afterglow Of Zeon,6.65,"Action, Adventure, Sci-Fi",Movie,"Aug 29, 1992","Bandai Visual, Sotsu",Sunrise,5594.0,6207,4,3446.0,9406,36.28816196073423,1992,Aug,Fall
Crusher Joe: The OVAs,6.57,"Action, Adventure, Sci-Fi",OVA,"Feb 5, 1989 to Jun 5, 1989",Studio Nue,Sunrise,5964.0,9021,1,1298.0,3494,27.160580864810306,1989,Feb,Spring
High Speed Jessie,6.21,"Action, Sci-Fi",OVA,"Sep 5, 1989 to Mar 5, 1990",VAP,Pierrot,7816.0,11290,1,354.0,1594,14.64504146425473,1989,Sep,Fall
Sanctuary,6.34,"Action, Drama, Suspense",OVA,"May 1, 1996","VAP, Toho",Pastel,7164.0,8067,9,1625.0,4931,28.90616442420849,1996,May,Summer
Space Pirate Mito,6.22,"Action, Comedy, Sci-Fi",TV,"Jan 5, 1999 to Mar 30, 1999","Bandai Visual, Shaft, Genco",Triangle Staff,7773.0,9694,9,838.0,2766,22.615059132997477,1999,Jan,Winter
Space Pirate Mito 2,5.97,"Action, Comedy, Sci-Fi",TV,"Jul 13, 1999 to Oct 5, 1999","Xebec, Shaft, Genco",Triangle Staff,8996.0,11457,1,474.0,1492,16.975789656491855,1999,Jul,Summer
UNKNOWN,6.42,Adventure,TV,"Jan 4, 1999 to Sep 27, 1999","TV Tokyo, Shogakukan-Shueisha Productions",Xebec,6750.0,11629,7,516.0,1405,18.430404324636612,1999,Jan,Winter
Super YoYo,6.62,Sports,TV,"Nov 30, 1998 to Sep 10, 1999",Shogakukan-Shueisha Productions,Xebec,5726.0,7663,7,2567.0,5540,33.527199907094065,1998,Nov,Winter
Steam Detectives,6.62,"Action, Mystery",TV,"Oct 7, 1998 to Mar 31, 1999",Studio Tron,Xebec,5738.0,8221,8,1146.0,4682,26.08059450494777,1998,Oct,Fall
UNKNOWN,6.9,Adventure,TV,"Jan 8, 1996 to Dec 23, 1996","TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising",Xebec,4375.0,5837,55,5929.0,10876,41.6398176725097,1996,Jan,Winter
UNKNOWN,6.65,Adventure,TV,"Feb 13, 2005 to Jan 28, 2007",Nagoya Broadcasting Network,Ajia-do,5598.0,11876,6,406.0,1285,16.542069405487286,2005,Feb,Spring
UNKNOWN,6.72,Action,TV,"Jan 5, 1998 to Dec 21, 1998",UNKNOWN,Xebec,5209.0,8741,7,2075.0,3869,31.700877418484744,1998,Jan,Winter
UNKNOWN,6.25,Comedy,Movie,"Jun 29, 1996",UNKNOWN,Ajia-do,7616.0,13766,2,217.0,708,10.187565622733052,1996,Jun,Summer
I am THE Shiratori Reiko!,5.31,"Comedy, Romance",OVA,"Apr 25, 1990",UNKNOWN,Ajia-do,11335.0,13806,0,184.0,699,7.161731573020919,1990,Apr,Spring
UNKNOWN,6.79,"Action, Adventure, Sci-Fi",TV,"Apr 8, 2006 to Sep 30, 2006",UNKNOWN,Xebec,4876.0,7320,5,2106.0,6229,31.933497579743662,2006,Apr,Spring
Graduation,6.08,Drama,OVA,"Jan 21, 1995 to Feb 21, 1995",Bandai Visual,animate Film,8489.0,11187,3,516.0,1658,17.92807795703418,1995,Jan,Winter
Catnapped,6.74,Adventure,Movie,"May 30, 1998","Pioneer LDC, AC Create",Triangle Staff,5109.0,9667,11,1005.0,2801,25.03423297232077,1998,May,Summer
UNKNOWN,6.86,Comedy,TV,"Jul 1, 1998 to Aug 25, 1998",TBS,Studio Deen,4559.0,10492,13,648.0,2121,21.145321665032014,1998,Jul,Summer
The Galaxy Railways II,6.69,"Action, Adventure, Drama, Sci-Fi",TV,"Oct 5, 2006 to Mar 29, 2007",CBC Television,Planet,5375.0,8642,4,1056.0,4018,25.42253110524072,2006,Oct,Fall
Triton of the Sea,6.42,"Adventure, Fantasy",TV,"Apr 1, 1972 to Sep 30, 1972",UNKNOWN,Animation Staff Room,6791.0,10486,4,684.0,2124,21.03248186866852,1972,Apr,Spring
UNKNOWN,5.19,"Action, Adventure, Comedy, Fantasy",TV,"Oct 7, 2007 to Mar 30, 2008","TV Tokyo, Dentsu, Nexon",Madhouse,11602.0,8155,4,1852.0,4792,28.265475005830204,2007,Oct,Fall
Crusher Joe: The Movie,6.82,"Action, Adventure, Sci-Fi",Movie,"Mar 12, 1983",Studio Nue,Sunrise,4771.0,6494,10,2498.0,8346,33.55043825986984,1983,Mar,Spring
UNKNOWN,6.12,"Action, Comedy, Sci-Fi",TV,"Apr 6, 1999 to Sep 28, 1999",Pony Canyon,Daume,8256.0,9301,2,928.0,3183,23.407289649447375,1999,Apr,Spring
UNKNOWN,7.71,"Action, Adventure, Sci-Fi",Special,"Aug 22, 1981 to Aug 20, 1983",UNKNOWN,Gainax,1107.0,4588,186,11032.0,19925,48.39883259062585,1981,Aug,Fall
UNKNOWN,6.74,"Comedy, Sci-Fi",OVA,"Mar 25, 1994",Pioneer LDC,AIC,5107.0,6153,6,4442.0,9577,38.75676727615064,1994,Mar,Spring
Delinquent Detective,6.4,"Action, Drama",OVA,"Apr 21, 1991 to Jul 21, 1991","Hakusensha, Big Bang",SIDO LIMITED,6871.0,7124,14,2105.0,6657,31.3829018309412,1991,Apr,Spring
UNKNOWN,5.71,"Action, Comedy",TV,"Aug 1, 2004 to Dec 19, 2004",Aniplex,Madhouse,10029.0,9211,2,1083.0,3277,24.193157831661978,2004,Aug,Fall
UNKNOWN,4.77,"Comedy, Romance, Ecchi",OVA,"Feb 23, 1990 to Apr 27, 1990",Agent 21,J.C.Staff,12238.0,5966,23,4866.0,10323,36.40624387459516,1990,Feb,Spring
UNKNOWN,5.82,Action,OVA,"Feb 25, 1999 to Jul 25, 1999",UNKNOWN,Sunrise,9621.0,12428,0,318.0,1065,13.056510976679972,1999,Feb,Spring
Baby Grandma,6.49,"Comedy, Drama",TV,"Apr 8, 2002 to Dec 4, 2002","Bandai Visual, NHK, Bandai",UNKNOWN,6442.0,12809,0,267.0,949,12.448844905770951,2002,Apr,Spring
Mazinkaiser: Deathmatch! General Dark,7.07,Action,OVA,"Jul 25, 2003","Bee Media, Dynamic Planning",Brain's Base,3677.0,8165,11,2364.0,4784,33.37375248556402,2003,Jul,Summer
UNKNOWN,7.16,"Comedy, Fantasy, Sci-Fi",TV,"Oct 3, 1995 to Mar 31, 1997","TV Tokyo, Shogakukan-Shueisha Productions, SoftX, Studio Jack",OLM,3253.0,9913,12,1311.0,2560,28.046643011752547,1995,Oct,Fall
UNKNOWN,4.76,"Action, Drama",OVA,"Apr 26, 1995 to Jun 1, 1995",VAP,OLM,12247.0,11790,0,438.0,1332,14.15592101911946,1995,Apr,Spring
UNKNOWN,6.34,Fantasy,TV,"Apr 9, 2003 to Oct 1, 2003",NHK,OLM,7154.0,14071,1,149.0,635,6.850828393109078,2003,Apr,Spring
UNKNOWN,5.73,"Drama, Fantasy",OVA,"Feb 5, 1999 to Sep 22, 1999",UNKNOWN,OLM,9957.0,13451,1,157.0,785,6.40008388876976,1999,Feb,Spring
UNKNOWN,6.73,"Action, Drama",TV,"Jan 11, 2004 to Jun 27, 2004",UNKNOWN,OLM,5157.0,11130,3,404.0,1697,16.606871934142966,2004,Jan,Winter
UNKNOWN,6.88,"Action, Drama",TV,"Jul 4, 2004 to Dec 19, 2004",AIC,OLM,4465.0,12912,2,226.0,914,11.44882384107534,2004,Jul,Summer
UNKNOWN,7.37,Comedy,Special,"Jun 22, 2007",UNKNOWN,Sunrise,2195.0,6597,10,3567.0,8081,37.55611810220389,2007,Jun,Summer
UNKNOWN,7.28,Comedy,TV,"Jul 7, 2007 to Sep 22, 2007",Lantis,J.C.Staff,2643.0,4958,64,6450.0,16457,42.91262053891334,2007,Jul,Summer
Hell Teacher Nube,7.1,"Action, Comedy, Horror, Supernatural",OVA,"Jun 12, 1998 to May 14, 1999",Toei Video,Toei Animation,3544.0,9205,4,1124.0,3278,26.54794506622817,1998,Jun,Summer
Vexille,6.91,"Action, Sci-Fi",Movie,"Aug 18, 2007","Avex Entertainment, Shogakukan-Shueisha Productions, Shochiku, TBS, Yahoo! Japan, Shogakukan",Oxybot,4357.0,4719,23,10852.0,18694,47.23530329040808,2007,Aug,Fall
Astro Boy,7.08,"Action, Adventure, Drama, Sci-Fi",TV,"Jan 1, 1963 to Dec 31, 1966",Meiji Seika,Mushi Production,3640.0,5617,53,4118.0,11963,38.5118469720435,1963,Jan,Winter
UNKNOWN,7.21,"Comedy, Sports, Ecchi",TV,"Oct 4, 1981 to Dec 26, 1982",Fuji TV,"Tatsunoko Production, Tama Production",2986.0,7818,30,2534.0,5322,34.196062688498856,1981,Oct,Fall
Heisei Period Dog Tale Bow,7.38,"Adventure, Comedy",TV,"Oct 14, 1993 to Sep 22, 1994",Daiichikosho,Nippon Animation,2146.0,11813,13,536.0,1319,20.06799865899103,1993,Oct,Fall
Miyori's Forest,6.88,"Drama, Fantasy, Slice of Life",Special,"Aug 25, 2007","Fuji TV, Atelier Musa",Nippon Animation,4464.0,5486,18,4181.0,12722,38.38743991750766,2007,Aug,Fall
UNKNOWN,7.88,Sports,OVA,"Jun 22, 2007 to Jan 25, 2008",Production I.G,M.S.C,760.0,3470,39,20137.0,36303,54.157142232904704,2007,Jun,Summer
Who's Left Behind?,7.71,Drama,Movie,"Mar 9, 1991","TV Tokyo, Nikkatsu",Mushi Production,1135.0,5521,30,3690.0,12466,38.28563781621557,1991,Mar,Spring
UNKNOWN,5.81,"Action, Adventure, Sci-Fi",OVA,"Apr 28, 1989 to May 24, 1991","Toei Video, Agent 21",J.C.Staff,9645.0,9132,3,1029.0,3357,23.88121174627432,1989,Apr,Spring
Cleopatra: Queen of Sex,5.43,Sci-Fi,Movie,"Sep 15, 1970",UNKNOWN,Mushi Production,10991.0,7455,13,2178.0,5939,30.18004032116462,1970,Sep,Fall
UNKNOWN,7.18,"Drama, Fantasy, Sci-Fi",Movie,"Jan 25, 2007",Yellow Film,Sunwoo Entertainment,3161.0,5251,47,6152.0,14055,42.34808588307783,2007,Jan,Winter
UNKNOWN,7.32,"Action, Comedy, Fantasy",TV,"Apr 7, 1995 to Jan 26, 1996",UNKNOWN,Shaft,2428.0,10349,17,742.0,2219,22.995187598475606,1995,Apr,Spring
UNKNOWN,7.28,"Sci-Fi, Sports",TV,"Apr 6, 1993 to Mar 29, 1994","TV Tokyo, Sotsu",Sunrise,2652.0,11451,15,460.0,1497,18.530407021487044,1993,Apr,Spring
Evangelion: 1.0 You Are (Not) Alone,8.0,"Action, Award Winning, Drama, Sci-Fi",Movie,"Sep 1, 2007",UNKNOWN,Khara,587.0,376,1849,331242.0,538123,80.15601088000477,2007,Sep,Fall
The Ideon: A Contact,5.99,"Drama, Sci-Fi",Movie,"Jul 10, 1982",UNKNOWN,Sunrise,8878.0,8396,1,1880.0,4401,29.72774496987159,1982,Jul,Summer
The Ideon: Be Invoked,7.89,"Drama, Sci-Fi",Movie,"Jul 10, 1982",UNKNOWN,Sunrise,744.0,6182,198,3479.0,9480,37.95502020701247,1982,Jul,Summer
UNKNOWN,7.81,"Action, Adventure, Comedy, Romance",TV,"Oct 20, 1983 to Mar 29, 1984",Toho,Group TAC,905.0,5866,129,4058.0,10723,39.28247694544676,1983,Oct,Fall
Momotaro: Sacred Sailors,5.11,Action,Movie,"Apr 12, 1945","Shochiku, Ministry of the Navy",Shochiku Animation Institute,11758.0,9862,5,1141.0,2598,23.649800892727463,1945,Apr,Spring
